0x00563f,Castleton green
0x062a78,Catalina blue
0x703642,Catawba
0xc95a49,Cedar Chest
0x92a1cf,Ceil
0xace1af,Celadon
0x007ba7,Cerulean
0x2f847c,Celadon green
0xb2ffff,Celeste
0x4997d0,Celestial blue
0x246bce,Celtic Blue
0xde3163,Cherry
0xec3b83,Cerise pink
0x2a52be,Cerulean blue
0x001440,Cetacean blue
0x6d9bc3,Cerulean frost
0x007aa5,CG Blue
0xe03c31,CG Red
0xa0785a,Chamoisee
0xf7e7ce,Champagne
0xf1ddcf,Champagne pink
0x36454f,Charcoal
0x232b2b,Charleston green
0xd0748b,Charm
0xe68fac,Charm pink
0xdfff00,Chartreuse (traditional)
0x7fff00,Chartreuse (web)
0xffa600,Cheese
0xffb7c5,Cherry blossom pink
0x954535,Chestnut
0xde6fa1,China pink
0xa8516e,China rose
0x141414,Chinese black
0x365194,Christmas blue
0xcd8032,Chinese bronze
0xab381f,Chinese brown
0xd0db61,Chinese green
0xcc9900,Chinese gold
0xf37042,Chinese orange
0xde70a1,Chinese pink
0x720b98,Chinese purple
0xcd071e,Chinese red
0xaa381e,Chinese red
0xcccccc,Chinese silver
0x856088,Chinese violet
0xe2e5de,Chinese white
0xffb200,Chinese yellow
0x4aff00,Chlorophyll green
0x3f000f,Chocolate Brown
0x58111a,Chocolate Cosmos
0x3c1421,Chocolate Kisses
0x7b3f00,Chocolate (traditional)
0xd2691e,Cocoa brown
0x2a8fbd,Christmas blue
0x5d2b2c,Christmas brown
0x4c1f02,Christmas brown
0x3c8d0d,Christmas green
0x007502,Christmas green
0xcaa906,Christmas gold
0xff6600,Christmas orange
0xd56c2b,Christmas orange
0xffcccb,Christmas pink
0xe34285,Christmas pink
0x663398,Christmas purple
0x4d084b,Christmas purple
0xaa0114,Christmas red
0xb01b2e,Christmas red
0xe1dfe0,Christmas silver
0xffcc00,Christmas yellow
0xfef200,Christmas yellow
0xffa700,Chrome yellow
0x98817b,Cinereous
0xe34234,Cinnabar
0xcd607e,Cinnamon Satin
0xe4d00a,Citrine
0x933709,Citrine Brown
0x9fa91f,Citron
0x7f1734,Claret
0xfbcce7,Classic rose
0x0047ab,Cobalt Blue
0x965a3e,Coconut
0x6f4e37,Coffee
0x3c3024,Cola
0xc4d8e2,Columbia Blue
0xffffcc,Conditioner
0xf88379,Coral pink
0x002e63,Cool Black
0x8c92ac,Cool grey
0xeee0b1,Cookies and cream
0xb87333,Copper
0xda8a67,Copper (Crayola)
0xad6f69,Copper penny
0xcb6d51,Copper red
0x996666,Copper rose
0xff3800,Coquelicot
0xff7f50,Coral
0xff4040,Coral red
0xfd7c6e,Coral Reef
0x893f45,Cordovan
0xfbec5d,Corn
0x6495ed,Cornflower blue
0x93ccea,Cornflower
0xfff8dc,Cornsilk
0x2e2d88,Cosmic Cobalt
0xfff8e7,Cosmic latte
0x81613c,Coyote brown
0xffbcd9,Cotton candy
0xfffdd0,Cream
0xdc143c,Crimson
0xbe0032,Crimson glory
0x990000,Crimson red
0xa7d8de,Crystal
0x68a0b0,Crystal blue
0xf5f5f5,Cultured
0x4e82b4,Cyan azure
0x4682bf,Cyan-blue azure
0x28589c,Cyan cobalt blue
0x188bc2,Cyan cornflower blue
0x00b7eb,Cyan (process)
0x58427c,Cyber grape
0xffd300,Cyber yellow
0xf56fa1,Cyclamen
0xffff31,Daffodil
0xf0e130,Dandelion
0xfddb6d,Dandelion (Crayola)
0x00008b,Dark blue
0x666699,Dark blue-gray
0x804a00,Dark bronze
0x514100,Dark bronze (Coin)
0x654321,Dark brown
0x88654e,Dark brown-tangelo
0x5d3954,Dark byzantium
0xa40000,Dark candy apple red
0x08457e,Dark cerulean
0x333333,Dark charcoal
0x986960,Dark chestnut
0x490206,Dark chocolate
0x3c1321,Dark chocolate (Hershey's)
0x26428b,Dark cornflower blue
0xcd5b45,Dark coral
0x008b8b,Dark cyan
0x536878,Dark electric blue
0xaa6c39,Dark gold
0xb8860b,Dark goldenrod
0xa9a9a9,Dark medium gray
0x013220,Dark green
0x006400,Dark green (X11)
0x1f262a,Dark gunmetal
0x00416a,Dark imperial blue
0x00147e,Dark imperial blue
0x1a2421,Dark jungle green
0xbdb76b,Dark khaki
0x483c32,Dark taupe
0x734f96,Dark lavender
0x8bbe1b,Dark lemon lime
0x534b4f,Dark liver
0x543d37,Dark liver (horses)
0x8b008b,Dark magenta
0x003366,Dark midnight blue
0x4a5d23,Dark moss green
0x556b2f,Deep spring bud
0xff8c00,Dark orange
0x9932cc,Dark orchid
0x779ecb,Dark pastel blue
0x03c03c,Dark pastel green
0x966fd6,Dark pastel purple
0xc23b22,Dark pastel red
0xe75480,Dark pink
0x003399,Dark powder blue
0x4f3a3c,Dark puce
0x301934,Dark purple
0x872657,Dark raspberry
0x8b0000,Dark red
0xe9967a,Dark salmon
0x560319,Dark scarlet
0x8fbc8f,Dark sea green
0x3c1414,Dark sienna
0x71706e,Dark silver
0x8cbed6,Dark sky blue
0x483d8b,Dark slate blue
0x2f4f4f,Dark slate gray
0x177245,Dark spring green
0x918151,Dark tan
0xffa812,Dark tangerine
0xcc4e5c,Dark terra cotta
0x00ced1,Dark turquoise
0xd1bea8,Dark vanilla
0x9400d3,Dark violet
0x9b870c,Dark yellow
0x00703c,Dartmouth green
0x555555,Davy's grey
0xd70a53,Debian red
0x9c8aa4,Deep amethyst
0x40826d,Deep aquamarine
0xa9203e,Deep carmine
0xef3038,Deep carmine pink
0xe9692c,Deep carrot orange
0xda3287,Deep cerise
0xfad6a5,Deep champagne
0xb94e48,Deep chestnut
0x704241,Deep coffee
0xc154c1,Fuchsia (Crayola)
0x056608,Deep Green
0x0e7c61,Deep green-cyan turquoise
0x004b49,Deep jungle green
0x333366,Deep koamaru
0xf5c71a,Deep lemon
0x9955bb,Deep lilac
0xcc00cc,Deep magenta
0x820000,Deep maroon
0xd473d4,French mauve
0x355e3b,Deep moss green
0xffcba4,Deep peach
0xff1493,Fluorescent pink
0xa95c68,Deep puce
0x850101,Deep Red
0x843f5b,Deep ruby
0xff9933,Deep saffron
0x4a646c,Deep Space Sparkle
0x7e5e60,Deep Taupe
0x66424d,Deep Tuscan red
0x330066,Deep violet
0xba8759,Deer
0x1560bd,Denim
0x2243b6,Denim Blue
0x669999,Desaturated cyan
0xedc9af,Desert sand
0xea3c53,Desire
0xb9f2ff,Diamond
0x696969,Dim gray
0xc53151,Dingy Dungeon
0x9b7653,Dirt
0xb5651e,Dirty brown
0xe8e4c9,Dirty white
0x1e90ff,Dodger blue
0xfef65b,Dodie yellow
0xd71868,Dogwood rose
0x85bb65,Dollar bill
0x828e84,Dolphin Gray
0x664c28,Donkey brown
0x00009c,Duke blue
0xe5ccc9,Dust storm
0xefdfbb,Dutch white
0xe1a95f,Earth yellow
0x555d50,Ebony
0xc2b280,Ecru
0x1b1b1b,Eerie black
0x614051,Eggplant
0xf0ead6,Eggshell
0x1034a6,Egyptian blue
0x7df9ff,Electric blue
0xb56257,Electric brown
0xff003f,Electric crimson
0x00ff00,Electric green
0x6f00ff,Electric indigo
0xccff00,Fluorescent yellow
0xff3503,Electric orange
0xf62681,Electric pink
0xbf00ff,Electric purple
0xe60000,Electric red
0x3f00ff,Electric ultramarine
0x8f00ff,Electric violet
0xffff33,Electric yellow
0x50c878,Emerald
0x046307,Emerald green
0x6c3082,Eminence
0xb48395,English lavender
0xab4b52,English red
0xcc474b,English vermillion
0x563c5c,English violet
0x96c8a2,Eton blue
0x44d7a8,Eucalyptus
0x801818,Falu red
0xb53389,Fandango
0xde5285,Fandango pink
0xf400a1,Fashion fuchsia
0xe5aa70,Fawn
0x4d5d53,Feldgrau
0xfdd5b1,Feldspar
0x4f7942,Fern green
0xff2800,Ferrari Red
0x6c541e,Field drab
0xff5470,Fiery Rose
0xb22222,Firebrick
0xce2029,Fire engine red
0xe95c4b,Fire opal
0xe25822,Flame
0xfc8eac,Flamingo pink
0xf7e98e,Flavescent
0xeedc82,Flax
0xffe9d1,Flesh
0xa2006d,Flirt
0xfffaf0,Floral white
0x15f4ee,Fluorescent blue
0xff004f,Folly
0x5fa777,Forest green (Crayola)
0x014421,Forest green (traditional)
0x228b22,Forest green (web)
0x856d4d,French bistre
0x0072bb,French blue
0xfd3f92,French fuchsia
0x86608e,French lilac
0x9efd38,French lime
0xfd6c9e,French pink
0x811453,French plum
0x4e1609,French puce
0xc72c48,French raspberry
0xf64a8a,French rose
0x77b5fe,French sky blue
0x8806ce,French violet
0xac1e44,French wine
0xa6e7ff,Fresh Air
0xe936a7,Frostbite
0xff00ff,Fuchsia
0xff77ff,Fuchsia pink
0xcc397b,Fuchsia purple
0xc74375,Fuchsia rose
0xe48400,Fulvous
0xcc6666,Fuzzy Wuzzy
0xdcdcdc,Gainsboro
0xe49b0f,Gamboge
0x996600,Gamboge orange (brown)
0x733635,Garnet
0xffdf46,Gargoyle Gas
0x007f66,Generic viridian
0xf8f8ff,Ghost white
0xb05c52,Giant's Club
0xfe5a1d,Giants orange
0xd8e4bc,Gin
0x6082b6,Glaucous
0xab92b3,Glossy Grape
0x00ab66,GO green
0xa57c00,Gold
0xd4af37,Gold (metallic)
0xffd700,Gold (web) (Golden)
0xe6be8a,Gold (Crayola)
0x85754e,Gold Fusion
0xbd9b16,Gold foil
0x996515,Golden brown
0xfcc200,Golden poppy
0xffdf00,Golden yellow
0xdaa520,Goldenrod
0x676767,Granite Gray
0xa8e4a0,Granny Smith Apple
0x6f2da8,Grape
0x808080,Gray (HTML/CSS gray)
0xbebebe,Gray (X11 gray)
0x465945,Gray-asparagus
0x8c92ac,Gray-blue
0x008001,Green
0x00ff00,Lime (web) (X11 green)
0x1cac78,Green (Crayola)
0x008000,Green (HTML/CSS color)
0x00a877,Green (Munsell)
0x009f6b,Green (NCS)
0x00ad43,Green (Pantone)
0x00a550,Green (pigment)
0x66b032,Green (RYB)
0x1164b4,Green-blue
0x2887c8,Green-blue (Crayola)
0x4c721d,Green Cola
0x009966,Green-cyan
0xa7f432,Green Lizard
0x6eaea1,Green Sheen
0xadff2f,Green-yellow
0xf0e891,Green-yellow (Crayola)
0xa99a86,Grullo
0x00ff7f,Guppie green
0x2a3439,Gunmetal
0xf8f8f8,Guyabano
0x663854,Halayà úbe
0xeb6123,Halloween orange
0x446ccf,Han blue
0x5218fa,Han purple
0xe9d66b,Hansa yellow
0x3fff00,Harlequin
0x46cb18,Harlequin green
0xc90016,Harvard crimson
0xda9100,Harvest gold
0x808000,Heart Gold
0xff7a00,Heat Wave
0x960018,Heidelberg Red[2]
0xdf73ff,Heliotrope
0xaa98a9,Heliotrope gray
0xaa00bb,Heliotrope magenta
0xf400a1,Hollywood cerise
0xf0fff0,Honeydew
0x006db0,Honolulu blue
0x49796b,Hooker's green
0xff1dce,Hot magenta
0xff69b4,Hot pink
0x355e3b,Hunter green
0x71a6d2,Iceberg
0x923c01,Iced tea
0xfcf75e,Icterine
0x71bc78,Iguana Green
0x319177,Illuminating Emerald
0x602f6b,Imperial
0x002395,Imperial blue
0x66023c,Imperial purple
0xed2939,Imperial red
0xb2ec5d,Inchworm
