0xbfac05,muddy yellow
0x3eaf76,dark seafoam green
0xc74767,deep rose
0xb9484e,dusty red
0x647d8e,grey/blue
0xbffe28,lemon lime
0xd725de,purple/pink
0xb29705,brown yellow
0x673a3f,purple brown
0xa87dc2,wisteria
0xfafe4b,banana yellow
0xc0022f,lipstick red
0x0e87cc,water blue
0x8d8468,brown grey
0xad03de,vibrant purple
0x8cff9e,baby green
0x94ac02,barf green
0xc4fff7,eggshell blue
0xfdee73,sandy yellow
0x33b864,cool green
0xfff9d0,pale
0x758da3,blue/grey
0xf504c9,hot magenta
0x77a1b5,greyblue
0x8756e4,purpley
0x889717,baby shit green
0xc27e79,brownish pink
0x017371,dark aquamarine
0x9f8303,diarrhea
0xf7d560,light mustard
0xbdf6fe,pale sky blue
0x75b84f,turtle green
0x9cbb04,bright olive
0x29465b,dark grey blue
0x696006,greeny brown
0xadf802,lemon green
0xc1c6fc,light periwinkle
0x35ad6b,seaweed green
0xfffd37,sunshine yellow
0xa442a0,ugly purple
0xf36196,medium pink
0x947706,puke brown
0xfff4f2,very light pink
0x1e9167,viridian
0xb5c306,bile
0xfeff7f,faded yellow
0xcffdbc,very pale green
0x0add08,vibrant green
0x87fd05,bright lime
0x1ef876,spearmint
0x7bfdc7,light aquamarine
0xbcecac,light sage
0xbbf90f,yellowgreen
0xab9004,baby poo
0x1fb57a,dark seafoam
0x00555a,deep teal
0xa484ac,heather
0xc45508,rust orange
0x3f829d,dirty blue
0x548d44,fern green
0xc95efb,bright lilac
0x3ae57f,weird green
0x016795,peacock blue
0x87a922,avocado green
0xf0944d,faded orange
0x5d1451,grape purple
0x25ff29,hot green
0xd0fe1d,lime yellow
0xffa62b,mango
0x01b44c,shamrock
0xff6cb5,bubblegum
0x6b4247,purplish brown
0xc7c10c,vomit yellow
0xb7fffa,pale cyan
0xaeff6e,key lime
0xec2d01,tomato red
0x76ff7b,lightgreen
0x730039,merlot
0x040348,night blue
0xdf4ec8,purpleish pink
0x6ecb3c,apple
0x8f9805,baby poop green
0x5edc1f,green apple
0xd94ff5,heliotrope
0xc8fd3d,yellow/green
0x070d0d,almost black
0x4984b8,cool blue
0x51b73b,leafy green
0xac7e04,mustard brown
0x4e5481,dusk
0x876e4b,dull brown
0x58bc08,frog green
0x2fef10,vivid green
0x2dfe54,bright light green
0x0aff02,fluro green
0x9cef43,kiwi
0x18d17b,seaweed
0x35530a,navy green
0x1805db,ultramarine blue
0x6258c4,iris
0xff964f,pastel orange
0xffab0f,yellowish orange
0x8f8ce7,perrywinkle
0x24bca8,tealish
0x3f012c,dark plum
0xcbf85f,pear
0xff724c,pinkish orange
0x280137,midnight purple
0xb36ff6,light urple
0x48c072,dark mint
0xbccb7a,greenish tan
0xa8415b,light burgundy
0x06b1c4,turquoise blue
0xcd7584,ugly pink
0xf1da7a,sandy
0xff0490,electric pink
0x805b87,muted purple
0x50a747,mid green
0xa8a495,greyish
0xcfff04,neon yellow
0xffff7e,banana
0xff7fa7,carnation pink
0xef4026,tomato
0x3c9992,sea
0x886806,muddy brown
0x04f489,turquoise green
0xfef69e,buff
0xcfaf7b,fawn
0x3b719f,muted blue
0xfdc1c5,pale rose
0x20c073,dark mint green
0x9b5fc0,amethyst
0x0f9b8e,blue/green
0x742802,chestnut
0x9db92c,sick green
0xa4bf20,pea
0xcd5909,rusty orange
0xada587,stone
0xbe013c,rose red
0xb8ffeb,pale aqua
0xdc4d01,deep orange
0xa2653e,earth
0x638b27,mossy green
0x419c03,grassy green
0xb1ff65,pale lime green
0x9dbcd4,light grey blue
